Name,Address,Opening Hours,Popular Times
Dolby Theatre,"6801 Hollywood Blvd, Hollywood, CA 90028, USA","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","[{'name': 'Monday', 'data': [19, 8, 3, 2, 3, 4, 6, 9, 13, 19, 26, 29, 32, 34, 35, 36, 35, 34, 32, 32, 30, 26, 20, 14]}, {'name': 'Tuesday', 'data': [7, 3, 2, 2, 3, 5, 7, 9, 14, 18, 24, 27, 29, 31, 33, 33, 33, 32, 33, 33, 33, 32, 29, 21]}, {'name': 'Wednesday', 'data': [11, 4, 1, 2, 1, 3, 5, 8, 11, 16, 21, 25, 27, 28, 29, 30, 30, 31, 33, 33, 32, 30, 26, 21]}, {'name': 'Thursday', 'data': [11, 6, 2, 1, 3, 4, 7, 10, 15, 22, 30, 35, 38, 40, 44, 47, 48, 47, 51, 55, 57, 54, 43, 32]}, {'name': 'Friday', 'data': [17, 9, 5, 3, 2, 4, 7, 9, 14, 20, 28, 33, 38, 41, 44, 46, 50, 57, 71, 89, 100, 99, 80, 59]}, {'name': 'Saturday', 'data': [31, 16, 6, 3, 3, 3, 5, 7, 12, 20, 27, 38, 54, 77, 93, 98, 92, 79, 71, 71, 76, 77, 71, 58]}, {'name': 'Sunday', 'data': [33, 16, 7, 4, 2, 3, 5, 8, 11, 15, 20, 29, 37, 45, 49, 52, 51, 51, 52, 58, 61, 61, 52, 37]}]"
Hertz Car Rental - Los Angeles - N Lacienega Boulevard,"450 N La Cienega Blvd, Los Angeles, CA 90048, USA","['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u200912:00\u202fPM', 'Sunday: Closed']",Not available
"Dr. Ronald Hurst, MD, FACS","11800 Wilshire Blvd, Los Angeles, CA 90025, USA",Not available,Not available
HillHurst Tax Group,"2150 Hillhurst Ave, Los Angeles, CA 90027, USA","['Monday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']",Not available
"Dr. Ronald Hurst, MD, FACS","11800 Wilshire Blvd, Los Angeles, CA 90025, USA",Not available,Not available
North East Mall,"1101 Melbourne Rd, Hurst, TX 76053, USA","['Monday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 12:00\u202fAM\u2009–\u20096:00\u202fPM']","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 32, 40, 45, 45, 45, 45, 45, 44, 37, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 32, 40, 44, 45, 44, 43, 42, 39, 32, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 27, 35, 38, 38, 37, 38, 39, 38, 33, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 28, 35, 39, 40, 39, 40, 41, 40, 35, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 44, 55, 61, 63, 62, 62, 64, 64, 58, 45, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 58, 77, 91, 99, 100, 95, 87, 76, 63, 46, 0, 0, 0]}, {'name': 'Sunday', 'data': [6, 2, 1, 0, 0, 0, 0, 1, 3, 9, 21, 40, 64, 82, 94, 96, 90, 74, 0, 0, 0, 0, 0, 0]}]"
Tire shop taqueria #2,"1743 N Cahuenga Blvd, Los Angeles, CA 90028, USA","['Monday: 5:30\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: Closed', 'Wednesday: 6:30\u2009–\u200911:30\u202fPM', 'Thursday: 6:30\u202fPM\u2009–\u20092:00\u202fAM', 'Friday: 6:30\u202fPM\u2009–\u20093:00\u202fAM', 'Saturday: 6:30\u202fPM\u2009–\u20093:00\u202fAM', 'Sunday: 6:30\u202fPM\u2009–\u20092:00\u202fAM']",Not available
Thai on Hillhurst,"1850 Hillhurst Ave, Los Angeles, CA 90027, USA","['Monday: Closed', 'Tuesday: 11:30\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Wednesday: 11:30\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Saturday: 5:00\u2009–\u20099:00\u202fPM', 'Sunday: 5:00\u2009–\u20099:00\u202fPM']",Not available
Stonehurst Recreation Center,"9901 Dronfield Ave, Sun Valley, CA 91352, USA","['Monday: 9:00\u202fAM\u2009–\u20098:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20098:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20098:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20098:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20098:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: Closed']","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 31, 32, 42, 32, 40, 40, 48, 63, 66, 58, 30, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 36, 49, 62, 70, 69, 71, 85, 100, 100, 81, 43, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 18, 13, 18, 35, 45, 51, 54, 58, 60, 46, 23, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 33, 42, 50, 56, 53, 51, 48, 60, 69, 78, 63, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 33, 48, 57, 58, 52, 57, 62, 91, 90, 85, 61, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 67, 74, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]"
Hirsch Pipe & Supply,"1011 N Gower St, Los Angeles, CA 90038, USA","['Monday: 6:30\u202fAM\u2009–\u20094:30\u202fPM', 'Tuesday: 6:30\u202fAM\u2009–\u20094:30\u202fPM', 'Wednesday: 6:30\u202fAM\u2009–\u20094:30\u202fPM', 'Thursday: 6:30\u202fAM\u2009–\u20094:30\u202fPM', 'Friday: 6:30\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: 7:30\u2009–\u200911:30\u202fAM', 'Sunday: Closed']","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 28, 46, 75, 85, 82, 82, 76, 76, 65, 53, 28, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 14, 39, 68, 85, 98, 100, 93, 76, 59, 40, 20, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 20, 51, 81, 100, 95, 84, 73, 76, 78, 65, 43, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 21, 43, 76, 89, 95, 98, 92, 93, 82, 60, 26, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 34, 56, 81, 90, 95, 92, 75, 71, 57, 53, 34, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 32, 40, 35, 26, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]"
